"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"2","0.029354027","192.168.29.126","52.112.43.55","UDP","64","43658  >  3480 Len=22"
"3","0.056456441","192.168.29.126","52.112.43.55","UDP","64","43658  >  3480 Len=22"
"4","0.090136300","52.112.43.55","192.168.29.126","UDP","116","3480  >  43658 Len=74"
"5","0.108390950","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"6","0.157163307","192.168.29.126","52.112.43.55","UDP","64","43658  >  3480 Len=22"
"7","0.211770677","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"8","0.090136300","52.112.43.55","192.168.29.126","UDP","118","3480  >  43658 Len=74"
"9","0.108390950","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"10","0.157163307","192.168.29.126","52.112.43.55","UDP","66","43658  >  3480 Len=22"
"11","0.211770677","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"12","0.278176990","2405:201:1f:8bb:7481:ef58:dd6:3a02","2a03:2880:f22f:c5:face:b00c:0:167","TLSv1.2","215","Application Data"
"13","0.287169861","2a03:2880:f22f:c5:face:b00c:0:167","2405:201:1f:8bb:7481:ef58:dd6:3a02","TCP","88","443  >  43568 [ACK] Seq=1 Ack=128 Win=489 Len=0 TSval=303057666 TSecr=615745174"
"14","0.278176990","2405:201:1f:8bb:7481:ef58:dd6:3a02","2a03:2880:f22f:c5:face:b00c:0:167","TLSv1.2","213","[TCP Spurious Retransmission] , Application Data"
"15","0.287169861","2a03:2880:f22f:c5:face:b00c:0:167","2405:201:1f:8bb:7481:ef58:dd6:3a02","TCP","86","[TCP Dup ACK 13#1] 443  >  43568 [ACK] Seq=1 Ack=128 Win=489 Len=0 TSval=303057666 TSecr=615745174"
"16","0.304372187","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"17","0.354433013","52.112.43.55","192.168.29.126","UDP","116","3480  >  43658 Len=74"
"18","0.408606365","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"19","0.304372187","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"20","0.354433013","52.112.43.55","192.168.29.126","UDP","118","3480  >  43658 Len=74"
"21","0.408606365","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"22","0.501045233","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"23","0.545309009","2405:201:1f:8bb:7481:ef58:dd6:3a02","2404:6800:4009:808::200e","ICMPv6","120","Echo (ping) request id=0x0001, seq=102, hop limit=64 (reply in 24)"
"24","0.553098535","2404:6800:4009:808::200e","2405:201:1f:8bb:7481:ef58:dd6:3a02","ICMPv6","120","Echo (ping) reply id=0x0001, seq=102, hop limit=119 (request in 23)"
"25","0.501045233","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"26","0.545309009","2405:201:1f:8bb:7481:ef58:dd6:3a02","2404:6800:4009:808::200e","ICMPv6","118","Echo (ping) request id=0x0001, seq=102, hop limit=64 (reply in 27)"
"27","0.553098535","2404:6800:4009:808::200e","2405:201:1f:8bb:7481:ef58:dd6:3a02","ICMPv6","118","Echo (ping) reply id=0x0001, seq=102, hop limit=119 (request in 26)"
"28","0.598928132","192.168.29.126","52.112.43.55","UDP","64","43658  >  3480 Len=22"
"29","0.603954610","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
